type,q4,q6
diamond,0.000687285,0.000531531
diamond,0.000858707,0.000396761
diamond,0.000607196,0.00032942
diamond,0.000303811,0.000925751
diamond,0.00010407,0.00149634
diamond,0.000377897,0.000382747
diamond,0.00113487,0.000559855
diamond,0.000237099,0.000351983
diamond,0.000159859,0.00120437
diamond,0.0010005,0.00134526
diamond,0.000587135,0.000868648
diamond,0.000340284,0.000281297
diamond,0.00017221,0.000546461
diamond,0.000333122,0.000580411
diamond,0.00104375,0.000738719
diamond,0.000170837,0.000926137
diamond,0.000536382,2.83E-05
diamond,0.00138116,7.49E-05
diamond,6.03E-06,0.00025082
diamond,0.000412267,0.000191684
diamond,0.0014532,0.000992972
diamond,0.00154636,0.000462047
diamond,4.88E-06,0.000171171
diamond,0.000321013,0.00100691
diamond,0.000397533,0.00139659
diamond,0.000350857,0.00092171
diamond,0.000186148,0.000612532
diamond,0.000507313,0.000576761
diamond,2.42E-05,0.00101573
diamond,0.000142555,0.000627975
diamond,0.000972149,0.00133151
diamond,0.000193552,0.00124347
diamond,0.00104742,0.00107166
diamond,0.000844337,0.000793804
diamond,0.000745333,0.000554627
diamond,0.000678737,0.00149756
diamond,0.000256861,0.00138587
diamond,0.000742836,0.00131222
diamond,0.00177568,6.84E-05
diamond,0.000131921,0.00103439
diamond,0.000917908,6.62E-05
diamond,0.000835742,0.000117922
diamond,0.00112347,0.000580252
diamond,0.00062072,0.000157744
diamond,0.000933389,0.00112592
diamond,0.00110683,0.000646351
diamond,0.000927238,6.17E-05
diamond,0.000621427,0.00109351
diamond,0.000200805,0.000757838
diamond,0.000821582,0.00146153
diamond,0.000354526,0.000943183
diamond,0.000412881,0.00136022
diamond,0.00109944,0.0013059
diamond,0.00117587,0.000484356
diamond,0.00154852,0.000613193
diamond,0.000707695,0.00204986
diamond,0.000154795,0.00160709
diamond,0.00106753,0.00209141
diamond,0.000473611,0.00178679
diamond,0.00132477,0.000171726
diamond,0.001358,0.000398977
diamond,0.000952086,0.000282569
diamond,0.000211812,0.000135978
diamond,5.64E-06,0.00231156
diamond,0.000242991,0.00251407
diamond,0.000187031,0.00192011
diamond,0.000385154,0.0016833
diamond,0.0010431,0.00155572
diamond,0.000123769,0.00113615
diamond,0.000632085,0.00154545
diamond,0.00227601,0.000406137
diamond,0.00198871,0.000335823
diamond,0.00022351,0.000529277
diamond,0.00145059,0.000541525
diamond,0.00276018,0.000509565
diamond,0.00276406,0.000553608
diamond,0.00157507,0.00116468
diamond,0.00148354,0.000335517
diamond,0.000767116,0.000453672
diamond,7.02E-05,0.000320528
diamond,0.000167821,0.000882255
diamond,0.000376028,0.00249454
diamond,0.0013348,0.00178815
diamond,0.000917031,0.00234238
diamond,7.72E-05,1.03E-05
diamond,0.000591004,0.0011765
diamond,0.000809307,0.00148852
diamond,8.05E-05,0.00205978
diamond,0.00133102,0.00315783
diamond,0.0001626,0.0028638
diamond,0.00132655,0.00194324
diamond,0.00057428,0.00179458
diamond,0.000922776,0.00221464
diamond,0.000287572,0.000608176
diamond,0.000823917,0.00027059
diamond,6.41E-05,8.76E-05
diamond,0.000652954,0.000912858
diamond,0.000740904,0.0018985
diamond,0.000322172,0.00231181
diamond,0.00125197,0.00204774
hcp,0.000271075,0.000333494
hcp,0.00106313,0.00307624
hcp,0.00194335,0.0018409
hcp,0.000634724,0.00416845
hcp,0.000503136,0.00369252
hcp,0.000605342,0.00121615
hcp,0.00165191,0.00117227
hcp,0.00298237,0.00128904
hcp,0.000705584,0.00200541
hcp,0.00108792,0.00242993
hcp,0.000485883,0.00294677
hcp,0.00119803,0.00083199
hcp,0.00121049,0.000892263
hcp,0.00174887,0.00193651
hcp,0.000311061,0.00126531
hcp,0.00023745,0.00302218
hcp,0.00227135,0.00593264
hcp,0.00350708,0.00528281
hcp,0.0020252,0.00131727
hcp,0.000982643,0.00223235
hcp,0.00153174,0.00437047
hcp,0.000812652,0.00252503
hcp,0.00112269,0.0054238
hcp,0.000988929,0.00490668
hcp,0.000125027,0.00241268
hcp,0.00164751,0.00217349
hcp,0.00206714,0.00152387
hcp,0.000148887,0.0012413
hcp,9.27E-05,0.00303818
hcp,0.00173081,0.00181247
hcp,0.00154029,0.0021438
hcp,0.00119829,0.00269623
hcp,0.000932953,0.00153115
hcp,7.41E-05,0.00106133
hcp,0.00221303,0.00213396
hcp,0.00321116,0.00173727
hcp,0.00323733,0.0036959
hcp,0.00254079,0.00545038
hcp,0.001871,0.00344369
hcp,0.00130148,0.00236813
hcp,0.00117394,0.00321742
