type,q4,q6
1,1.74E-04,1.66E-04
1,1.65E-04,1.69E-04
1,1.56E-04,9.15E-05
1,0.000152513,0.000130433
1,1.49E-04,1.18E-05
1,0.000138531,2.73E-05
0,1.30E-04,0.000162121
1,1.30E-04,3.59E-05
1,1.27E-04,7.15E-05
0,1.27E-04,2.03E-05
0,1.23E-04,3.21E-05
1,0.000122733,4.41E-05
1,1.19E-04,5.48E-05
1,0.000113949,1.19E-04
1,1.13E-04,3.25E-05
1,1.12E-04,2.71E-04
0,1.12E-04,1.12E-05
1,1.10E-04,2.75E-04
0,1.08E-04,2.67E-05
1,0.000107661,0.000156717
1,0.000107448,1.76E-04
1,0.000107183,1.39E-06
1,1.07E-04,2.44E-05
1,1.06E-04,1.57E-04
0,1.06E-04,5.98E-05
1,1.05E-04,1.33E-04
0,1.04E-04,1.47E-04
1,1.03E-04,1.07E-04
0,1.03E-04,5.88E-05
0,1.03E-04,3.63E-05
1,1.01E-04,1.10E-04
1,0.000100543,0.000163511
0,1.00E-04,5.72E-05
1,9.91E-05,0.000158172
0,9.89E-05,6.71E-05
0,9.77E-05,4.18E-05
1,9.75E-05,1.48E-04
1,9.62E-05,6.71E-05
0,9.51E-05,9.49E-05
1,9.46E-05,7.92E-05
1,9.46E-05,3.41E-05
1,9.01E-05,2.41E-05
0,8.93E-05,4.60E-05
0,8.88E-05,9.05E-05
1,8.69E-05,3.25E-05
1,8.68E-05,7.23E-05
0,8.66E-05,3.17E-06
1,8.61E-05,8.56E-05
1,8.59E-05,9.69E-05
1,8.51E-05,0.000147207
0,8.47E-05,2.83E-06
1,8.46E-05,2.71E-05
1,8.40E-05,0.000142788
1,8.36E-05,4.35E-05
0,8.29E-05,4.48E-05
1,8.22E-05,6.39E-05
1,8.04E-05,1.09E-04
1,8.04E-05,1.29E-05
1,7.94E-05,9.83E-05
0,7.93E-05,4.46E-05
1,7.88E-05,8.75E-05
0,7.75E-05,3.72E-05
0,7.66E-05,5.05E-05
0,7.65E-05,3.33E-05
