type,q4,q6
1,0.000687285,0.000531531
1,0.000858707,0.000396761
1,0.000607196,0.00032942
1,0.000303811,0.000925751
1,0.00010407,0.00149634
1,0.000377897,0.000382747
1,0.00113487,0.000559855
1,0.000237099,0.000351983
1,0.000159859,0.00120437
1,0.0010005,0.00134526
1,0.000587135,0.000868648
1,0.000340284,0.000281297
1,0.00017221,0.000546461
1,0.000333122,0.000580411
1,0.00104375,0.000738719
1,0.000170837,0.000926137
1,0.000536382,2.83E-05
1,0.00138116,7.49E-05
1,6.03E-06,0.00025082
1,0.000412267,0.000191684
1,0.0014532,0.000992972
1,0.00154636,0.000462047
1,4.88E-06,0.000171171
1,0.000321013,0.00100691
1,0.000397533,0.00139659
1,0.000350857,0.00092171
1,0.000186148,0.000612532
1,0.000507313,0.000576761
1,2.42E-05,0.00101573
1,0.000142555,0.000627975
1,0.000972149,0.00133151
1,0.000193552,0.00124347
1,0.00104742,0.00107166
1,0.000844337,0.000793804
1,0.000745333,0.000554627
1,0.000678737,0.00149756
1,0.000256861,0.00138587
1,0.000742836,0.00131222
1,0.00177568,6.84E-05
1,0.000131921,0.00103439
1,0.000917908,6.62E-05
1,0.000835742,0.000117922
1,0.00112347,0.000580252
1,0.00062072,0.000157744
1,0.000933389,0.00112592
1,0.00110683,0.000646351
1,0.000927238,6.17E-05
1,0.000621427,0.00109351
1,0.000200805,0.000757838
1,0.000821582,0.00146153
1,0.000354526,0.000943183
1,0.000412881,0.00136022
1,0.00109944,0.0013059
1,0.00117587,0.000484356
1,0.00154852,0.000613193
1,0.000707695,0.00204986
1,0.000154795,0.00160709
1,0.00106753,0.00209141
1,0.000473611,0.00178679
1,0.00132477,0.000171726
1,0.001358,0.000398977
1,0.000952086,0.000282569
1,0.000211812,0.000135978
1,5.64E-06,0.00231156
1,0.000242991,0.00251407
1,0.000187031,0.00192011
1,0.000385154,0.0016833
1,0.0010431,0.00155572
1,0.000123769,0.00113615
1,0.000632085,0.00154545
1,0.00227601,0.000406137
1,0.00198871,0.000335823
1,0.00022351,0.000529277
1,0.00145059,0.000541525
1,0.00276018,0.000509565
1,0.00276406,0.000553608
1,0.00157507,0.00116468
1,0.00148354,0.000335517
1,0.000767116,0.000453672
1,7.02E-05,0.000320528
1,0.000167821,0.000882255
1,0.000376028,0.00249454
1,0.0013348,0.00178815
1,0.000917031,0.00234238
1,7.72E-05,1.03E-05
1,0.000591004,0.0011765
1,0.000809307,0.00148852
1,8.05E-05,0.00205978
1,0.00133102,0.00315783
1,0.0001626,0.0028638
1,0.00132655,0.00194324
1,0.00057428,0.00179458
1,0.000922776,0.00221464
1,0.000287572,0.000608176
1,0.000823917,0.00027059
1,6.41E-05,8.76E-05
1,0.000652954,0.000912858
1,0.000740904,0.0018985
1,0.000322172,0.00231181
1,0.00125197,0.00204774
